"id number","meters north","meters east","type","start date","end date","x","y"
3,8982,4708,1,0,0,48,93
4,9070,4561,1,0,0,47,94
5,9101,4540,1,0,0,46,94
6,9280,4278,2,0,0,44,96
7,9362,4480,2,0,0,46,97
8,9226,4573,3,1150,1300,47,96
9,9330,4877,3,1150,1300,50,97
10,9440,4739,2,0,0,49,98
11,9179,4858,3,1200,1270,50,95
12,9238,4805,1,0,0,49,96
14,9279,4900,1,0,0,50,96
15,2720,2360,1,0,0,24,27
16,9422,5465,2,0,0,56,98
17,2680,2250,1,0,0,23,27
18,9200,4720,1,0,0,48,95
20,9000,4468,3,1150,1300,46,93
22,8780,3800,1,0,0,39,91
24,9559,2760,2,0,0,27,99
25,2270,2105,3,1050,1200,21,22
26,9437,2800,1,0,0,28,98
28,8938,3960,2,0,0,40,93
30,8760,3903,1,0,0,40,91
32,9063,4080,1,0,0,42,94
34,9039,4040,2,0,0,41,94
36,9137,3860,1,0,0,39,95
38,9303,3618,2,0,0,37,97
39,10125,1360,1,0,0,13,105
40,9310,3546,1,0,0,36,97
41,9110,1800,1,0,0,18,94
42,9379,3530,2,0,0,36,97
43,9540,1722,2,0,0,17,99
44,9559,3220,2,0,0,32,99
45,9560,1880,1,0,0,19,99
46,9760,2850,2,0,0,28,101
47,9668,1890,1,0,0,19,100
48,9790,1980,2,0,0,20,102
49,7990,2460,3,1100,1300,24,82
50,9840,1822,2,0,0,18,102
51,8040,2450,1,0,0,24,83
52,10000,1800,2,0,0,18,104
53,7690,1700,2,0,0,17,79
54,9620,2322,1,0,0,24,100
55,7710,1505,1,0,0,15,79
57,7780,1480,1,0,0,15,80
58,8639,3485,1,0,0,35,89
59,8580,1050,2,0,0,10,89
60,8699,3542,1,0,0,36,90
62,8760,3300,1,0,0,33,91
63,8630,1220,2,0,0,12,89
64,8940,3210,2,0,0,32,93
65,8740,1028,2,0,0,10,91
66,8310,2477,2,0,0,24,86
67,9643,1020,2,0,0,10,100
68,8240,2260,1,0,0,23,85
69,9730,809,2,0,0,8,101
70,8200,2120,1,0,0,22,85
71,8620,1080,2,0,0,10,89
72,8360,2179,1,0,0,22,86
73,7820,2035,1,0,0,21,81
74,8380,1870,1,0,0,19,87
75,5685,3739,1,0,0,38,58
76,8390,1680,2,0,0,17,87
77,9960,6336,1,0,0,66,104
78,5477,1561,1,0,0,16,56
79,5129,1524,1,0,0,15,52
80,10290,6375,1,0,0,66,107
81,6880,2200,2,0,0,22,71
82,6120,2188,2,0,0,22,62
83,6760,2570,1,0,0,25,69
84,6740,2557,1,0,0,25,69
85,6730,2460,1,0,0,24,69
86,6715,2400,1,0,0,24,69
87,6700,2310,1,0,0,24,69
88,6680,2280,1,0,0,23,68
89,6640,2265,1,0,0,23,68
90,6620,2260,2,0,0,23,68
91,6560,2263,1,0,0,23,67
92,6520,2223,2,0,0,23,67
93,6200,2600,1,0,0,26,63
94,10120,5461,1,0,0,56,105
95,10562,5740,3,1050,1300,59,110
96,10878,5770,3,950,1100,60,113
97,10763,5858,3,1200,1300,61,112
99,10713,5761,3,1050,1300,60,112
100,10740,5962,3,1050,1300,62,112
101,6700,1580,2,0,0,16,69
102,6720,1560,2,0,0,16,69
103,6947,1543,2,0,0,15,71
104,7480,1760,1,0,0,18,77
105,7520,1939,1,0,0,20,77
106,2690,1900,3,1050,1150,19,27
109,6760,2690,2,0,0,27,69
110,8138,740,2,0,0,7,84
111,8160,862,1,0,0,8,84
112,9961,4964,2,0,0,51,104
113,5344,1683,1,0,0,17,54
114,2363,1680,1,0,0,17,23
115,9910,240,1,0,0,1,103
116,8640,719,1,0,0,7,89
117,10180,320,2,0,0,2,106
118,10000,1240,1,0,0,12,104
119,9940,1160,1,0,0,11,103
120,10900,1780,1,0,0,18,114
121,10830,2040,2,0,0,21,113
122,10130,1600,2,0,0,16,105
123,10260,1470,1,0,0,15,107
